voices,start,end,text
Voices_000.wav,0.0,3.0,ما هي الذكاء الاصطناعي؟
Voices_001.wav,3.0,6.0,قبل أن نجيب على ذلك، دعونا نلقي نظرة على هذه المصطلحات بشكل فردي.
Voices_002.wav,6.0,9.0,ماذا تفهم من مصطلح اصطناعي؟
Voices_003.wav,9.0,14.0,حسناً، يمكن أن يكون أي شيء مصنوع من قبل البشر، أشياء غير طبيعية.
Voices_004.wav,14.0,16.0,وماذا تفهم من مصطلح ذكاء؟
Voices_005.wav,16.0,20.0,إنه القدرة على الفهم والتفكير والتعلم.
Voices_006.wav,20.0,23.0,فماذا نحصل عندما نجمع هذين المصطلحين معاً؟
Voices_007.wav,23.0,27.0,الذكاء الاصطناعي هو مجال واسع من علوم الحاسوب
Voices_008.wav,27.0,31.0,الذي يجعل الآلات تبدو وكأنها تمتلك ذكاء بشري.
Voices_009.wav,31.0,35.0,هدف الذكاء الاصطناعي هو تقليد الدماغ البشري وإنشاء أنظمة
Voices_010.wav,35.0,39.0,يمكنها العمل بشكل ذكي ومستقل.
Voices_011.wav,39.0,42.0,يقولون أن عصر الذكاء الاصطناعي هنا.
Voices_012.wav,42.0,44.0,ولكنك قد تتساءل،
Voices_013.wav,44.0,48.0,لماذا لا ترى سيارات طائرة أو خادمات روبوتية تجلب لك الغداء؟
Voices_014.wav,48.0,51.0,لماذا لا تبدو حياتك أكثر مثل الجيتسون؟
Voices_015.wav,51.0,54.0,حسناً، هذا رسوم متحركة.
Voices_016.wav,54.0,58.0,وعندما يتعلق الأمر بالذكاء الاصطناعي، الروبوت ليس أكثر من قذيفة تخفي
Voices_017.wav,58.0,61.0,ما هو في الواقع يستخدم لتشغيل التكنولوجيا.
Voices_018.wav,61.0,65.0,يمكن أن يظهر الذكاء الاصطناعي نفسه بطرق مختلفة.
Voices_019.wav,65.0,70.0,إذا كنت قد طلبت من ألكسا طلب الطعام أو تصفح اقتراحات أفلام نتفلكس،
Voices_020.wav,70.0,74.0,فأنت في الواقع تتفاعل مع الذكاء الاصطناعي دون أن تدرك ذلك.
Voices_021.wav,74.0,76.0,وهذا هو نوع من النقطة.
Voices_022.wav,76.0,81.0,الذكاء الاصطناعي مصمم حتى لا تدرك أن هناك آلة تتخذ القرارات.
Voices_023.wav,81.0,85.0,في المستقبل القريب، من المتوقع أن يصبح الذكاء الاصطناعي أقل اصطناعية
Voices_024.wav,85.0,88.0,وأكثر ذكاء.
Voices_025.wav,88.0,90.0,مع زيادة ذكاء الذكاء الاصطناعي،
Voices_026.wav,90.0,93.0,سيأخذ بالتأكيد دور العامل الذكي.
Voices_027.wav,93.0,99.0,بينما يمكن أتمتة معظم المهام المتكررة والمهام الزمنية الكبيرة باستخدام الذكاء الاصطناعي،
Voices_028.wav,99.0,104.0,سنظل بحاجة إلى خبراء بشريين يمكنهم بناء وصيانة الروبوتات الاصطناعية
Voices_029.wav,104.0,108.0,والعمل على الجوانب الاستراتيجية والإبداعية للوظيفة.
Voices_030.wav,108.0,113.0,لذا في الختام، الذكاء الاصطناعي هو نعمة يمكن أن تساعد في تحسين أي وظيفة.
Voices_031.wav,113.0,117.0,هذا يعني أن كما هو الحال دائماً، ليس هناك ذكاء اصطناعي ضد البشر.
Voices_032.wav,117.0,122.0,بل هو مجموعة من البشر والذكاء الاصطناعي ضد بيان المشكلة الفعلي.
Voices_033.wav,122.0,124.0,فماذا تنتظر؟
Voices_034.wav,124.0,129.0,ارفع سترتك وكن مستعداً لتكون جزءاً من هذه الثورة الذكية.
Voices_035.wav,129.0,135.0,ابدأ تعلم هذه التكنولوجيا الرائجة باستخدام دورات إيديوركا المخصصة.
Voices_036.wav,135.0,138.0,حتى المرة القادمة، تعلم سعيد!
