voices,start,end,text
Voices_000.wav,0.0,4.96,هل تساءلت يومًا كيف يترجم جوجل صفحة ويب كاملة إلى لغة مختلفة في غضون
Voices_001.wav,4.96,11.12,ثوانٍ؟ أو صور مجموعة معرض هاتفك بناءً على موقعها؟ كل هذا هو نتاج
Voices_002.wav,11.12,17.2,التعلم العميق. ولكن ما هو التعلم العميق بالضبط؟ التعلم العميق هو مجموعة
Voices_003.wav,17.2,23.2,فرعية من التعلم الآلي، والذي بدوره هو مجموعة فرعية من الذكاء الاصطناعي.
Voices_004.wav,23.2,29.12,الذكاء الاصطناعي هو تقنية تمكن الآلة من تقليد السلوك البشري. التعلم الآلي
Voices_005.wav,29.2,34.56,هو تقنية لتحقيق الذكاء الاصطناعي من خلال الخوارزميات المدربة بالبيانات.
Voices_006.wav,34.56,39.36,وأخيرًا، التعلم العميق هو نوع من التعلم الآلي مستوحى من بنية الدماغ البشري.
Voices_007.wav,39.36,44.96,من حيث التعلم العميق، تسمى هذه البنية الشبكة العصبية الاصطناعية. دعونا
Voices_008.wav,44.96,49.76,نفهم التعلم العميق بشكل أفضل وكيف يختلف عن التعلم الآلي. لنفترض أننا
Voices_009.wav,49.76,54.96,أنشأنا آلة يمكنها التمييز بين الطماطم والكرز. إذا تم ذلك باستخدام التعلم
Voices_010.wav,54.96,60.48,الآلي، فيجب أن نخبر الآلة بالميزات التي يمكن التمييز بينهما بناءً عليها.
Voices_011.wav,60.48,65.76,يمكن أن تكون هذه الميزات الحجم ونوع الساق عليها. من ناحية أخرى، يتم اختيار
Voices_012.wav,65.76,71.36,الميزات من قبل الشبكة العصبية دون تدخل بشري. بالطبع، هذا النوع من
Voices_013.wav,71.36,77.2,الاستقلال يأتي بتكلفة وجود حجم أكبر بكثير من البيانات لتدريب الآلة. الآن،
Voices_014.wav,77.2,83.2,دعونا نتعمق في عمل الشبكات العصبية. هنا لدينا ثلاثة طلاب، كل منهم يكتب
Voices_015.wav,83.28,89.36,الرقم تسعة على قطعة من الورق. ومن الجدير بالذكر أنهم لا يكتبونه بشكل
Voices_016.wav,89.36,95.92,متطابق. يمكن للدماغ البشري التعرف على الأرقام بسهولة. ولكن ماذا إذا كان
Voices_017.wav,95.92,102.0,على الكمبيوتر التعرف عليها؟ هذا هو المكان الذي يأتي فيه التعلم العميق.
Voices_018.wav,102.0,110.72,هنا شبكة عصبية مدربة لتحديد الأرقام المكتوبة بخط اليد. كل رقم موجود
Voices_019.wav,110.72,115.36,كصورة 28x28 بكسل. وهذا يصل إلى إجمالي 784 بكسل.
Voices_020.wav,115.92,121.68,الخلايا العصبية، الكيان الأساسي للشبكة العصبية، حيث تتم معالجة المعلومات.
Voices_021.wav,122.24,128.4,يتم تغذية كل من 784 بكسل إلى خلية عصبية في الطبقة الأولى من الشبكة
Voices_022.wav,128.4,133.28,العصبية. يشكل هذا الطبقة المدخلة. في الطرف الآخر، لدينا الطبقة
Voices_023.wav,133.28,138.88,الناتجة مع كل خلية عصبية تمثل رقمًا مع وجود طبقات مخفية بينهما.
Voices_024.wav,138.96,145.12,يتم نقل المعلومات من طبقة إلى أخرى عبر القنوات المتصلة. لكل من هذه
Voices_025.wav,145.12,151.36,قيمة مرفقة، وبالتالي يسمى القناة الموزونة. جميع الخلايا العصبية لها
Voices_026.wav,151.92,158.48,رقم فريد مرتبط بها يسمى التحيز. يضاف هذا التحيز إلى المجموع الموزون
Voices_027.wav,158.48,164.88,للمدخلات التي تصل إلى الخلية العصبية، والتي يتم تطبيقها بعد ذلك على
Voices_028.wav,164.88,171.84,وظيفة تعرف باسم وظيفة التنشيط. نتيجة وظيفة التنشيط تحدد ما إذا كانت
Voices_029.wav,171.84,177.68,الخلية العصبية تنشط. كل خلية عصبية نشطة تمرر المعلومات إلى الطبقات
Voices_030.wav,177.68,183.6,التالية. يستمر هذا حتى الطبقة الثانية الأخيرة. يتم ضبط الأوزان والتحيز
Voices_031.wav,183.6,189.84,بشكل مستمر لإنتاج شبكة مدربة جيدًا. أين يتم تطبيق التعلم العميق؟ في
Voices_032.wav,189.84,194.8,دعم العملاء، عندما يتحدث معظم الناس مع وكيل دعم العملاء، يبدو
Voices_033.wav,194.96,200.96,الحديث حقيقيًا. ولا يدركون حتى أنهم يتحدثون مع روبوت في الطرف الآخر.
Voices_034.wav,200.96,208.0,في الرعاية الطبية، الشبكات العصبية تكتشف الخلايا السرطانية وتحلل صور
Voices_035.wav,208.0,213.76,التصوير بالرنين المغناطيسي لتقديم نتائج مفصلة. السيارات ذاتية
Voices_036.wav,213.76,221.28,القيادة. ما بدا مثل الخيال العلمي أصبح الآن حقيقة. Apple، Tesla، و
Voices_037.wav,221.28,226.72,Nissan هي بعض الشركات التي تعمل على السيارات ذاتية القيادة، لذا فإن
Voices_038.wav,226.72,232.56,التعلم العميق له نطاق واسع، ولكنه أيضًا يواجه بعض القيود. الأول كما
Voices_039.wav,232.56,239.44,ناقشنا سابقًا هو البيانات. بينما التعلم العميق هو الطريقة الأكثر كفاءة
Voices_040.wav,239.44,246.56,للتعامل مع البيانات غير المنظمة، تتطلب الشبكة العصبية حجمًا هائلاً من
Voices_041.wav,246.56,253.92,البيانات للتدريب. لنفترض أننا لدينا دائمًا إمكانية الوصول إلى
Voices_042.wav,253.92,261.28,الكمية الضرورية من البيانات. معالجة هذا ليس ضمن قدرة كل آلة. وهذا
Voices_043.wav,261.28,267.2,يجعلنا نصل إلى قيودنا الثانية، القوة الحسابية. يتطلب تدريب الشبكة
Voices_044.wav,267.2,272.88,العصبية وحدات معالجة الرسومات، والتي تحتوي على آلاف النوى مقارنة
