voices,start,end,text
Voices_000.wav,0.0,7.88,"بين 1830 و 1850، أُجبر حوالي 100,000 من الأمريكيين الأصليين على التخلي عن"
Voices_001.wav,7.88,14.28,أوطانهم الأصلية في جنوب شرق الولايات المتحدة والانتقال إلى أراضي الهند في
Voices_002.wav,14.28,16.24,أوكلاهوما الحالية.
Voices_003.wav,16.24,21.6,وكان هذا الانتقال، المعروف باسم مسار الدموع، نتيجة لقانون إزالة الهنود لعام
Voices_004.wav,21.6,26.2,1830 الذي وقع عليه الرئيس أندرو جاكسون.
Voices_005.wav,26.2,31.4,وتحدت أمة التشيراكي المحكمة الفعلية، ولكن جهودها باءت بالفشل.
Voices_006.wav,31.4,36.52,ونتيجة لذلك، أُزيلت قبائل التشيراكي وغيرها من قبائل من منازلهم و
Voices_007.wav,36.52,42.44,ساروا غربًا على الأقدام، حيث توفي الآلاف بسبب المرض والجوع والتعرض
Voices_008.wav,42.44,43.44,في الطريق.
Voices_009.wav,43.44,49.16,وكان مسار الدموع حدثًا مدمرًا ومأساويًا في التاريخ الأمريكي، غير
Voices_010.wav,49.16,53.28,حياة قبائل الأمريكيين الأصليين وأحفادهم إلى الأبد.
Voices_011.wav,53.28,59.08,واليوم، يخدم كتذكير بالآثار المدمرة للاستيعاب القسري على الشعوب
Voices_012.wav,59.08,59.56,الأصلية.
