voices,start,end,text
Voices_000.wav,0.0,4.4,تقنية الواقع الافتراضي تعني الواقع الافتراضي، وهي تقنية
Voices_001.wav,4.4,7.76,تخلق محاكاة حاسوبية مولدة لبيئة ثلاثية الأبعاد يمكن التفاعل
Voices_002.wav,7.76,11.92,معها باستخدام معدات خاصة مثل سماعة الرأس بشاشة أو قفازات
Voices_003.wav,11.92,17.6,مزودة بأجهزة استشعار. هدف تقنية الواقع الافتراضي هو إنشاء
Voices_004.wav,17.6,22.0,عالم حاسوبي مولد يمكن تجربته كما لو كان حقيقيًا، ويوفر
Voices_005.wav,22.0,26.96,للمستخدمين شعورًا بالوجود في البيئة المحاكاة. يسمح
Voices_006.wav,26.96,30.88,للمستخدمين بإنغمار أنفسهم في عالم آخر والتفاعل معه
Voices_007.wav,31.6,37.36,كما لو كان حقيقيًا، ويوفر شعورًا بالوجود في البيئة
Voices_008.wav,37.36,44.48,المحاكاة. تستخدم تقنية الواقع الافتراضي على نطاق واسع
Voices_009.wav,44.48,49.36,للألعاب والتدريب والتعليم والطبي العسكري والكثير
Voices_010.wav,49.36,51.68,غير ذلك. بالإضافة إلى ذلك، تستخدم أيضًا لتصور نماذج ثلاثية  الأبعاد،  مقاطع فيديو بزاوية 360 درجة،  ومحاكاة أخرى يمكن استخدامها في مجالات مثل التصميم والهندسة والهندسة المعمارية وغيرها.
