voices,start,end,text
Voices_000.wav,0.0,5.48,لنفترض أنك تعيش في بلدة صغيرة حيث لا أحد يبيع الموز، بمعنى آخر، صفر عرض.
Voices_001.wav,5.48,6.48,العرض.
Voices_002.wav,6.48,10.72,الآن، لنفترض أيضًا أن الناس الذين يعيشون هناك يودون أكل الموز.
Voices_003.wav,10.72,14.08,بمعنى آخر، هناك طلب لائق على الموز.
Voices_004.wav,14.08,16.56,كما يمكننا أن نرى، هناك عدم توازن حاليًا.
Voices_005.wav,16.56,19.12,الناس يريدون الموز ولكن لا يوجد بائعون.
Voices_006.wav,19.12,22.24,يفهم بيتر هذا وبدء بيع الموز.
Voices_007.wav,22.24,26.08,في البداية، أرباحه ستكون ضخمة لأن الكثير من الناس يريدون الموز وهو الوحيد الذي لديه.
Voices_008.wav,26.08,27.76,الموز.
Voices_009.wav,27.76,32.24,ومع مرور الوقت، ومع ذلك، ستلاحظ سارة كيف يفعل بيتر وبدء بيع الموز بنفسها.
Voices_010.wav,32.24,34.2,بنفسها.
Voices_011.wav,34.2,38.88,هذا يزيد من عرض الموز ويقلل من إمكانيات الربح لبيتر.
Voices_012.wav,38.88,42.72,كلما بدأ المزيد من الناس بيع الموز، كلما كان هناك عرض أكثر.
Voices_013.wav,42.72,46.68,إذا انتهى الكثير من الناس ببيع الموز ولكن الطلب لا يزيد بنفس القدر، سيكون هناك
Voices_014.wav,46.68,50.12,الكثير من العرض وبعضهم سيخرج من العمل.
Voices_015.wav,50.12,53.0,في النهاية، يتم الوصول إلى نوع من التوازن.
