voices,start,end,text
Voices_000.wav,0.0,3.0,ما بالضبط الذكاء الاصطناعي التوليدي؟
Voices_001.wav,3.0,9.0,عندما يتم إنشاء محتوى جديد بواسطة الذكاء الاصطناعي، يسمى ذلك الذكاء الاصطناعي التوليدي.
Voices_002.wav,9.0,15.0,يمكن أن يتضمن ذلك إنشاء نصوص وصور، بالإضافة إلى مقاطع فيديو وموسيقى أو أصوات.
Voices_003.wav,15.0,20.0,للقيام بذلك، تصف في مربع حوار الدردشة ما تريد أن ينشئه الذكاء الاصطناعي.
Voices_004.wav,20.0,24.0,يسمى هذا الوصف بالمطالبة.
Voices_005.wav,24.0,28.0,توفر أدوات الذكاء الاصطناعي التوليدية إجابات لجميع أنواع الأسئلة،
Voices_006.wav,28.0,33.0,تلخص المعلومات المعقدة وتولد أفكارًا متنوعة بسرعة.
Voices_007.wav,33.0,41.0,اعتمادًا على كيفية استخدامها، يمكنها إنشاء قصص قصيرة، لوحات، قطع من الشفرة أو حتى تأليف موسيقي.
Voices_008.wav,41.0,50.0,الأساس لهذا الإنشاء يكمن في كميات كبيرة من البيانات التي يصل إليها نظام الذكاء الاصطناعي لتحديد الأنماط وأوجه التشابه.
Voices_009.wav,50.0,53.0,المحتوى الذي ينتجه الذكاء الاصطناعي جديد.
Voices_010.wav,53.0,59.0,غالبًا ما يكون مثيرًا للإعجاب ومن الصعب تمييزه عن الأشياء التي صنعها البشر.
Voices_011.wav,59.0,63.0,يمكن أيضًا إساءة استخدام الذكاء الاصطناعي التوليدي.
Voices_012.wav,63.0,72.0,في ما يسمى بالتزييف العميق، يتم استخدام الذكاء الاصطناعي لإنتاج صور أو مقاطع فيديو تبدو حقيقية.
Voices_013.wav,72.0,77.0,النصوص التي تم إنشاؤها بواسطة الذكاء الاصطناعي أيضًا من الصعب التعرف عليها كونها من صنع الآلة.
Voices_014.wav,77.0,82.0,علاوة على ذلك، يمكن للذكاء الاصطناعي تقديم إجابات تبدو صحيحة ولكنها في الواقع غير صحيحة.
Voices_015.wav,82.0,84.0,يسمى هذا الهلوسة.
Voices_016.wav,84.0,93.0,تعتمد جودة ما يتم إنشاؤه على كل من جودة البيانات المستخدمة وجودة المطالب المقدمة.
Voices_017.wav,93.0,102.0,للاستفادة بشكل فعال من الذكاء الاصطناعي التوليدي، نحتاج إلى تعلم كيفية توجيه الأدوات بمطالب ذات معنى واستخدامها بعناية.
Voices_018.wav,102.0,111.0,يحتفظ الذكاء الاصطناعي التوليدي بإمكانيات هائلة ويمكن أن يساعدنا في العديد من الطرق، مثل العمل كشريك في الكتابة أو التعلم.
Voices_019.wav,111.0,117.0,ومع ذلك، يجب أن تقوم الآلة بالعمل الشاق والبشر يكونوا مسؤولين عن الحقائق.
